?prefix	?numberOfClasses
"OBI"	49
"IAO"	28
"CHMO"	4
"BFO"	36
"NCIT"	26
"UO"	2
"STATO"	2
"APOLLO"	2
""	1013
"MS"	1
"digitrubber/digitrubber-full.owl/DIGITRUBBER"	29
"NCBITaxon"	1
"CHEBI"	184
"PATO"	14
